distance,analysis,simulation
84653.01,1,1
82032.91,2,1
41349.59,3,1
38852.84,4,1
88217.35,1,2
116835.4,2,2
46878.03,3,2
38037.6,4,2
44600,1,3
31908.76,2,3
36372.09,3,3
22595.09,4,3
110562.3,1,4
27278.22,2,4
82097.92,3,4
30110.81,4,4
82489.14,1,5
26589.29,2,5
46170.9,3,5
34879.61,4,5
89669.21,1,6
48067.2,2,6
105873.9,3,6
42403.41,4,6
79088.95,1,7
16136.35,2,7
39778.77,3,7
35365.15,4,7
26261.36,1,8
23725.85,2,8
108802.4,3,8
37798.26,4,8
93123.05,1,9
26562.56,2,9
58435.75,3,9
28110.29,4,9
84981.2,1,10
32699.31,2,10
50110.63,3,10
36652.92,4,10
75084.93,1,11
28519.58,2,11
86673.05,3,11
31678.56,4,11
91459.9,1,12
59071.04,2,12
55699.74,3,12
47397.63,4,12
96503.16,1,13
38596.08,2,13
47432.73,3,13
44957.79,4,13
49021.02,1,14
17663.45,2,14
39450.88,3,14
46079.05,4,14
105580.8,1,15
45870.18,2,15
99442.09,3,15
21568.51,4,15
87620.07,1,16
50248.6,2,16
93924.83,3,16
38504.12,4,16
39061.07,1,17
27410.45,2,17
70163.18,3,17
35145.15,4,17
79062.73,1,18
26379.79,2,18
100020.1,3,18
31668.54,4,18
96013.97,1,19
41219.3,2,19
46414.87,3,19
99390.77,4,19
68178.12,1,20
38231.44,2,20
26678.51,3,20
25584.28,4,20
58474.51,1,21
77046.08,2,21
65807.98,3,21
55575.56,4,21
49645.82,1,22
30516.42,2,22
62727.71,3,22
28499.82,4,22
93899.85,1,23
26349.56,2,23
37679.95,3,23
32828.01,4,23
83126.38,1,24
29128.29,2,24
123789.3,3,24
58923.44,4,24
74945.93,1,25
33501.09,2,25
49614.89,3,25
50171.36,4,25
50375.9,1,26
49317.35,2,26
92680.89,3,26
47967.61,4,26
83825.36,1,27
42890.63,2,27
98033.1,3,27
18566.75,4,27
38991.74,1,28
30379.27,2,28
19746.3,3,28
27417.97,4,28
76138.79,1,29
28732.1,2,29
57112.58,3,29
39477.24,4,29
84122.9,1,30
61586.44,2,30
97268.03,3,30
41462.28,4,30
34232.01,1,31
27937.16,2,31
42323.83,3,31
35424.8,4,31
85278.49,1,32
44302.46,2,32
53903.91,3,32
30687.59,4,32
52437.23,1,33
94841.9,2,33
127295.4,3,33
84302.9,4,33
77946.35,1,34
106575.8,2,34
88075.61,3,34
30925.17,4,34
46674.26,1,35
37985.09,2,35
83598.69,3,35
62204.27,4,35
89665.84,1,36
53916.8,2,36
32233.67,3,36
28999.3,4,36
55348.49,1,37
32648.29,2,37
32914.58,3,37
28197.38,4,37
102633.1,1,38
25072.04,2,38
41161.89,3,38
53695.96,4,38
92996.31,1,39
42141.7,2,39
100815,3,39
31234.41,4,39
86017.59,1,40
47814.91,2,40
47352.24,3,40
49383.82,4,40
86071.14,1,41
80046.5,2,41
35920.16,3,41
30528.88,4,41
59201.31,1,42
62925.82,2,42
51318.41,3,42
104750.2,4,42
55605.73,1,43
29881.36,2,43
31977.31,3,43
32235.49,4,43
104082.4,1,44
97563.64,2,44
98297.59,3,44
43332.52,4,44
44070.16,1,45
22023.47,2,45
21150.54,3,45
24466.15,4,45
89272.03,1,46
29604.8,2,46
71815.45,3,46
28038.01,4,46
30937.01,1,47
28997.81,2,47
43124.11,3,47
44562.37,4,47
75866.95,1,48
60791.02,2,48
49658.92,3,48
39654.26,4,48
50882.64,1,49
17553.29,2,49
42594.72,3,49
25571.56,4,49
94183.17,1,50
39085.63,2,50
50470.56,3,50
47541.98,4,50
23146.13,5,1
52012.95,5,2
96476.35,5,3
89375.53,5,4
147665.3,5,5
41948.67,5,6
39506.03,5,7
53447.38,5,8
68514.38,5,9
73234.27,5,10
24106.55,5,11
35960.68,5,12
106607.1,5,13
44554.16,5,14
99802.03,5,15
125620.8,5,16
41523.18,5,17
65153.19,5,18
53873.65,5,19
23362.96,5,20
82598.62,5,21
95102.42,5,22
81949.95,5,23
31501.15,5,24
87436.15,5,25
54789.62,5,26
36803.32,5,27
42421.52,5,28
82244.59,5,29
110480.4,5,30
38694.84,5,31
95992.77,5,32
116811.2,5,33
51879.99,5,34
71299.2,5,35
61030.43,5,36
39272.72,5,37
107280,5,38
100788.5,5,39
62748.21,5,40
86210.01,5,41
71747.73,5,42
35605.93,5,43
43894.47,5,44
65839.87,5,45
94980.43,5,46
38012.05,5,47
54208.82,5,48
78703.39,5,49
99136.77,5,50
39807.45,6,1
40565.55,6,2
44532.95,6,3
78648.81,6,4
125838.5,6,5
59311.88,6,6
34384.9,6,7
62586.34,6,8
56420.54,6,9
76993,6,10
44889.59,6,11
24667.78,6,12
125060.1,6,13
131621.8,6,14
137618.9,6,15
38653.94,6,16
37768.45,6,17
73701.51,6,18
61183.01,6,19
29465.18,6,20
109708.9,6,21
98436.48,6,22
62466.68,6,23
47828.01,6,24
82885.65,6,25
34042.55,6,26
40789.41,6,27
45210.12,6,28
41926,6,29
100013.5,6,30
40530.7,6,31
57421.85,6,32
107171.9,6,33
64687.01,6,34
99934.33,6,35
77272.18,6,36
31770.82,6,37
83893.72,6,38
89987,6,39
42474.72,6,40
42474.72,6,41
77456.02,6,42
48818.46,6,43
54562.64,6,44
68709.06,6,45
46761.63,6,46
38707.56,6,47
60214.18,6,48
55042.56,6,49
98362.88,6,50
