label	location
N398|1007|82.19313	TAP
N399|1007|81.5657	TAP
N400|984|83.707826	PDS
N401|984|83.907653	PDS
N402|2368|83.904591	AMA
N403|2368|83.567975	AMA
N404|2061|83.250961	GRR
N405|1990|83.914667	GIG
N406|1024|71.855786	MEX
N407|2874|76.508289	MAD
N408|733|48.895739	FRA
N409|2623|71.04965	YLW
N410|1037|77.55717	CUL
N411|915|83.714999	ATH
N412|915|82.077087	ATH
N413|2334|59.322976	IAH
N414|1603|73.185354	BNE
N415|2524|72.036214	MSY
N416|2375|65.692899	SFO
N417|1035|82.73328	CUU
N418|1560|75.616651	GUA
N419|802|83.712166	SJO
N420|2918|83.813174	SAL
N421|2918|83.380269	SAL
N422|2305|45.108635	MIA
N423|2305|59.595105	MIA
N424|999|68.819489	TGZ
N425|999|83.284369	TGZ
N426|2532|37.52921	MCO
N427|2398|78.830256	BDL
N428|2532|62.000903	MCO
N429|2042|78.778874	GRU
N430|1031|72.239912	SLP
N431|1031|63.166903	SLP
N432|2214|81.768642	CLT
N433|1004|48.734689	VSA
N434|982|76.426014	ZIH
N435|982|71.914804	ZIH
N436|982|74.957443	ZIH
N437|982|73.408072	ZIH
N438|2175|82.293675	IND
N439|2229|69.84858	ILM
N440|1026|75.715083	LAP
N441|1026|65.19049	LAP
N442|1714|58.42767	CCS
N443|1714|68.026876	CCS
N444|1714|59.235259	CCS
N445|1018|68.323501	BJX
N446|3004|55.72983	PTY
N447|1205|76.310615	TLV
N448|752|72.119445	CGN
N449|599|82.068654	BSO
N450|596|67.977316	MNL
N451|473|82.932055	HKG
N452|2518|76.439824	JFK
N453|2518|79.379728	JFK
N454|994|70.89107	LMM
N455|2533|59.429477	DFW
N456|2501|74.136658	MBS
N457|2335|77.691992	BWI
N458|2925|83.550231	DUB
N459|2144|83.34122	AVL
N460|2144|83.221302	AVL
N461|2144|83.389207	AVL
N462|2437|83.902717	ORF
N463|2333|83.723539	SYR
N464|1036|74.555794	CUN
N465|519|75.225589	MVD
N466|1701|83.795375	MAR
N467|1701|83.498847	MAR
N468|2077|81.219052	JAN
N469|2517|82.4726	PVD
N470|2642|72.709465	YEG
N471|2288|81.626134	MKE
N472|2230|81.992829	FSM
N473|2904|78.001524	ALC
N474|720|77.181674	BRU
N475|720|75.07465	BRU
N476|3192|82.300252	COR
N477|789|81.520402	MAN
N478|789|81.704927	MAN
N479|2610|83.647894	YQB
N480|2258|83.493336	ELM
N481|244|77.812067	ASU
N482|2465|82.123841	MCI
N483|2465|75.616051	MCI
N484|2194|81.694246	LIT
N485|2432|83.705775	PHL
N486|2432|80.017713	PHL
N487|2432|81.953101	PHL
N488|2387|83.070898	ROC
N489|2387|83.241281	ROC
N490|2099|79.937551	TUL
intNode1	ZIH
intNode2	ZIH
intNode3	ZIH
intNode4	ZIH
intNode5	ZIH
intNode6	ZIH
intNode7	ZIH
intNode8	ZIH
intNode9	ZIH
intNode10	ZIH
intNode11	ZIH
intNode12	ZIH
intNode13	ZIH
intNode14	ZIH
intNode15	PHL
intNode16	ZIH
intNode17	AVL
intNode18	ZIH
intNode19	ZIH
intNode20	ZIH
intNode21	BRU
intNode22	ZIH
intNode23	MAN
intNode24	MCI
intNode25	ZIH
intNode26	ZIH
intNode27	CCS
intNode28	ZIH
intNode29	ZIH
intNode30	ZIH
intNode31	ZIH
intNode32	PDS
intNode33	ZIH
intNode34	TAP
intNode35	ZIH
intNode36	ZIH
intNode37	ZIH
intNode38	AMA
intNode39	ZIH
intNode40	ZIH
intNode41	ZIH
intNode42	ZIH
intNode43	ZIH
intNode44	ZIH
intNode45	ZIH
intNode46	ZIH
intNode47	JFK
intNode48	ZIH
intNode49	ZIH
intNode50	ZIH
intNode51	ZIH
intNode52	ATH
intNode53	ZIH
intNode54	ZIH
intNode55	ZIH
intNode56	ZIH
intNode57	ZIH
intNode58	ZIH
intNode59	ZIH
intNode60	ZIH
intNode61	SAL
intNode62	ZIH
intNode63	ZIH
intNode64	TGZ
intNode65	ZIH
intNode66	ZIH
